المجموعة,المرتبة,المسمى الوظيفي
الإداريين,اداري,أخصائي مراقبة موارد بشرية متقدم
الاخصائيين,اخصائي,اخصائي مختبر نساء غير طبيب
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,اخصائي,اخصائي تمريض 
الإداريين,اداري,أخصائي مراقبة موارد بشرية ممارس أول
التمريض,اخصائي,اخصائي تمريض 
الأطباء,طبيب نائب,طبيب نائب الطوارىء
التمريض,اخصائي,اخصائي تمريض 
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,اخصائي,اخصائي تمريض 
الأطباء,طبيب نائب,طبيب نائب الباطنة العامة
الأطباء,طبيب نائب,طبيب نائب الباطنة / صدرية
الأطباء,طبيب استشاري,طبيب استشاري الباطنة العامة
الأطباء,طبيب نائب,طبيب نائب مختبر
الأطباء,طبيب مقيم,طبيب مقيم
الأطباء,طبيب استشاري,طبيب استشاري الجراحة العامة
الإداريين,اداري,أخصائي عمليات موارد بشرية ممارس
التمريض,فني,فني تمريض
الإداريين,اداري,محاسب ممارس
الصيدله,فني,فني مساعد صيدلي
الأطباء,طبيب مقيم,طبيب مقيم
الصيدله,فني,فني مساعد صيدلي
الأطباء,طبيب نائب,طبيب نائب الطب النفسي
الاخصائيين,اخصائي,اخصائي علاج طبيعي رجال غير طبيب
الإداريين,اداري,فني صيانة آلات ممارس
الاخصائيين,اخصائي,اخصائي اداره خدمات صحيه
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,فني,فني تمريض
الإداريين,اداري,محاسب ممارس
الإداريين,اداري,محاسب مساعد
الإداريين,اداري,مساعد إداري ممارس ثاني
التمريض,فني,فني تمريض
الأطباء,طبيب مقيم,طبيب مقيم
الفنيين,فني,فني اشعه رجال
الإداريين,اداري,أخصائي مراقبة موارد بشرية
الإداريين,بند الأجور,
الإداريين,اداري,فني إحصاء طبي ممارس
الإداريين,بند الأجور,عامل
الأطباء,طبيب مقيم,طبيب مقيم
الفنيين,فني,فني علاج طبيعي رجال
الإداريين,اداري,مساعد إداري ممارس ثالث
الإداريين,بند الأجور,عامل
الإداريين,اداري,مساعد إداري ممارس ثاني
التمريض,فني,فني تمريض
الأطباء,طبيب مقيم,طبيب مقيم
الاخصائيين,اخصائي,اخصائيه تغذيه نساء غير طبيب
الإداريين,اداري,مساعد إداري ممارس أول
التمريض,فني,فني تمريض
الإداريين,اداري,فني إحصاء طبي ممارس
التمريض,فني,فني تمريض
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,فني,فني تمريض
الإداريين,اداري,مساعد إداري ممارس
التمريض,فني,فني تمريض
الإداريين,اداري,مساعد إداري ممارس
التمريض,اخصائي,اخصائي تمريض 
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,فني,فني تمريض
الإداريين,اداري,مساعد إداري ممارس ثاني
التمريض,فني,فني تمريض
الإداريين,اداري,مساعد إداري ممارس ثاني
الاخصائيين,اخصائي,اخصائي اشعه رجال غير طبيب
الأطباء,طبيب نائب,طبيب نائب الطوارىء
الفنيين,فني,فني اشعه رجال
الإداريين,اداري,مساعد إداري متقدم
التمريض,فني,فني تمريض
الإداريين,اداري,مساعد إداري ممارس ثاني
الأطباء,طبيب استشاري,طبيب استشاري طوارىء
الفنيين,فني,فني اشعه رجال
الإداريين,اداري,أخصائي مراقبة موارد بشرية ممارس
الإداريين,اداري,فني عمليات اتصالات ممارس
الإداريين,اداري,مساعد إداري متقدم
الإداريين,اداري,موظف استقبال و استعلامات
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,اخصائي اول,اخصائي اول تمريض
الإداريين,اداري,مدخل بيانات ممارس ثاني
الأطباء,طبيب استشاري,طبيب استشاري جراحة المسالك البولية
الإداريين,اداري,مشرف امن وسلامه
التمريض,فني,فني تمريض
الأطباء,طبيب مقيم,طبيب مقيم
المهندسين,مهندس محترف,مهندس كهربائي محترف
الإداريين,اداري,مساعد إداري متقدم
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,أمين صندوق مساعد
الاخصائيين,اخصائي,اخصائي مختبر رجال غير طبيب
الأطباء,طبيب مقيم,طبيب مقيم
الإداريين,اداري,محاسب
الإداريين,اداري,مساعد إداري ممارس ثاني
الاخصائيين,اخصائي,اخصائي مختبر رجال غير طبيب
الإداريين,اداري,أخصائي مراقبة موارد بشرية ممارس
التمريض,فني,فني تمريض
الأطباء,طبيب نائب,طبيب نائب الطوارىء
الإداريين,اداري,مراقب امن وسلامة
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,أخصائي مراقبة موارد بشرية مساعد
التمريض,فني,فني تمريض
الأطباء,طبيب مقيم,طبيب مقيم
الفنيين,فني,فني مختبر رجال
الإداريين,اداري,محاسب ممارس
الفنيين,فني,فني مختبر رجال
الإداريين,اداري,مدير اداري
الأطباء,طبيب مقيم,طبيب مقيم
التمريض,فني,فني تمريض
الإداريين,اداري,ناسخ ممارس ثاني
الفنيين,فني,فني عمليات رجال
الأطباء,طبيب استشاري,طبيب استشاري الطب النفسي
الإداريين,اداري,محاسب مساعد
الأطباء,طبيب مقيم,طبيب مقيم
الإداريين,المستخدمين,ممارس سائق سيارة
الإداريين,اداري,مساعد إداري ممارس ثاني
الاخصائيين,اخصائي,اخصائي اداره خدمات صحيه
الإداريين,اداري,مساعد إداري ممارس ثاني
التمريض,فني,فني تمريض
الأطباء,طبيب مقيم,طبيب مقيم
الاخصائيين,اخصائي,اخصائيه نفسيه نساء غير طبيب
الإداريين,اداري,مساعد إداري ممارس ثالث
الاخصائيين,اخصائي,اخصائي اداره خدمات صحيه
الإداريين,اداري,مساعد إداري ممارس ثاني
الفنيين,فني,فني اشعه رجال
الأطباء,طبيب مقيم,طبيب مقيم
الأطباء,طبيب استشاري,طبيب استشاري الباطنة / قلب
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,مساعد إداري ممارس ثالث
الأطباء,طبيب استشاري,طبيب استشاري الاسنان/علاج تحفظي واصلاح الاسنان
الأطباء,طبيب نائب,طبيب نائب الطوارىء
الأطباء,طبيب استشاري,طبيب استشاري المختبرات / تشريح نسيجي
الإداريين,اداري,مدير اداري
الاخصائيين,اخصائي,اخصائي نفسي رجال غير طبيب
الإداريين,اداري,مشرف مسكن ممارس ثالث
الإداريين,المستخدمين,مساعد رعاية مرضى منزلي
الأطباء,طبيب مقيم,طبيب مقيم
الأطباء,طبيب استشاري,طبيب استشاري الاسنان/علاج تحفظي واصلاح الاسنان
الإداريين,اداري,محاسب
التمريض,اخصائي,اخصائي تمريض 
الإداريين,اداري,مراقب امن وسلامة
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,سكرتير ممارس ثاني
التمريض,فني,فني تمريض
الأطباء,طبيب نائب,طبيب نائب
الإداريين,اداري,فني اتصالات
الإداريين,اداري,مراقب امن وسلامة
الفنيين,فني,فني علاج طبيعي رجال
الإداريين,اداري,مراقب امن وسلامة
الفنيين,فني,فنيه اسنان نساء
الأطباء,طبيب نائب,طبيب نائب الطوارىء
الإداريين,اداري,مساعد إداري ممارس ثاني
الإداريين,اداري,مساعد إداري ممارس ثالث
الأطباء,طبيب استشاري,طبيب استشاري الاسنان/علاج جذور الاسنان
الإداريين,اداري,مساعد إداري ممارس أول
الاخصائيين,اخصائي,اخصائي مختبر رجال غير طبيب
الأطباء,طبيب نائب,طبيب نائب الباطنة / عناية مركزة
الاخصائيين,اخصائي,اخصائيه صحة ورعاية فم واسنان نساء غير طبيب
الاخصائيين,اخصائي,اخصائي مختبر غير طبيب	
